fund_name,type,order,aic,residuals
Weiss Multi-Strategy Partners LLC,Hedge Fund,"(1, 0, 0)",315.57432123444016,"[ 2.16964894e-01  1.04917642e-01 -9.32657911e-02  4.87752697e-01
 -2.11348620e+00  1.58735652e-01  2.08092193e-01  1.01934885e+00
 -2.57679238e-01  3.72183909e-01  3.42386504e-02 -5.55880437e-01
 -1.75282497e+00 -1.05228284e+00  1.76238655e+00  1.95513079e-01
  1.27389915e+00 -2.91051429e+00 -6.02300601e-01 -1.00487972e+00
  1.27276348e-01  1.15332148e+00  2.75500539e-02 -1.21212822e+00
 -3.49829244e+00 -4.10501800e-01 -1.06226507e+00  2.50466170e+00
 -5.96744305e-01  5.54339972e-01  9.06055170e-02 -5.76970036e-02
  6.71844413e-01  3.84494543e-02  9.96734209e-01  6.76751975e-01
  8.44816321e-01  6.64137329e-01  1.24777046e+00  5.65054495e-01
  1.49367875e+00 -2.60395205e-01 -1.29632658e-01  9.06615122e-01
  1.14595390e+00  1.45834813e+00 -3.00630349e+00 -2.89491525e+00
  7.64846579e-01  4.66055217e-01 -1.43791741e+00  9.28294835e-01
 -2.40412971e-01 -1.40338488e+00  9.71572603e-02 -2.63390200e-02
 -1.00667852e+00  8.26597356e-01 -7.63027617e-01  1.03489988e+00
  7.85685416e-02 -9.65082358e-01  1.34780789e-01  1.74132007e-02
 -2.62554094e+00 -1.65594239e-01 -1.34790297e-03 -1.62077023e+00
 -1.81824252e-01 -4.80549824e-01  1.94717503e+00  1.41120095e+00
  2.57788228e-01 -1.51791741e+00  2.25011140e+00  1.09609075e+00
  9.90623283e-01 -1.60983530e+00  5.58634331e-01 -7.84284279e-01
  1.28523937e+00 -1.53688116e+00  1.48294835e-01 -3.05201445e-01
 -1.67976032e-02  5.06275626e-01  3.33559659e-01  7.68532962e-02
 -7.32657911e-02  9.64798555e-01 -2.24385600e-01  2.99229767e-01
  9.04578146e-01 -8.82908529e-01  1.56671644e+00  8.91760858e-01
  1.03345834e+00 -7.99835300e-01 -5.91008407e-01  8.27854018e-01]"
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. A,Fund of Funds,"(0, 0, 3)",315.9304936386334,"[-2.81       -1.32886362  1.77689797  0.85649018  2.21559306  1.10398237
 -0.32717032  2.14002102  0.13011449  1.10007603 -0.87814743  0.6887823
 -0.93925567 -1.30174562  0.2767652  -2.3897017  -3.16645416  1.98485237
  0.29138717 -0.93649788  1.46227191  1.47983221  0.01794878 -1.19965996
 -1.26938289 -0.36295292  1.5917755   0.95244675  0.5758243  -0.53344106
 -0.30909101  1.38831592  2.30518823  0.06483189  0.44847821  0.65085645
  1.26995421 -1.80019903  0.04078694 -0.92528767  1.54785309  1.16696542
  1.82703039  0.36854867 -1.44382217  1.37220114 -0.75333668 -0.449411
  0.96671158  0.99606973 -1.43772511  0.61122991  0.36144656 -0.25282758
  1.63940355 -0.81209601  0.87189893  1.33675134  0.70017956 -1.17381252
  0.47791646 -1.83389158  1.55773787 -2.17250181 -1.04606554 -0.48810033
  1.59073135 -1.04316015 -0.86631439 -1.33007136 -0.2527559   0.5306862
 -0.27368198  0.01545143  0.55569011 -0.82879454 -0.44149543 -0.21981653
  0.46437043  0.45373368 -0.17792399  0.43090916 -0.02547374 -0.16162625
 -0.18300727 -0.8063061   0.0453462   0.92892129  0.06559463  0.55100133
 -0.98636697 -0.18186486  1.74699711 -0.87128861  0.04585377 -0.81125579
  0.19177172 -0.80352795 -0.21391374  0.18675572]"
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. A,Fund of Funds,"(3, 0, 0)",317.21870437905625,"[-2.72000000e+00 -1.05714043e+00  1.62046484e+00  7.03351028e-01
  2.52325454e+00  1.63584649e+00 -1.85242228e-01  1.97911259e+00
 -1.10551176e-01  9.38918277e-01 -9.47431975e-01  6.10859395e-01
 -1.21914106e+00 -1.59096219e+00  1.50897944e-01 -2.68593875e+00
 -2.85210198e+00  2.01101159e+00  9.04745103e-03 -5.09308999e-01
  1.98904557e+00  1.77009764e+00 -1.45921974e-02 -1.14353206e+00
 -1.25366956e+00 -4.64556629e-01  1.24735804e+00  9.14979551e-01
  8.67071273e-01 -1.93200811e-01 -2.19118782e-01  1.25475315e+00
  2.12123698e+00 -1.46604369e-03  5.93131210e-01  7.74723637e-01
  1.05086581e+00 -2.01394472e+00 -5.70715002e-03 -1.04474373e+00
  1.31322320e+00  1.11927975e+00  1.92986166e+00  6.79836724e-01
 -1.37620467e+00  1.36227099e+00 -1.12778228e+00 -6.90204671e-01
  9.23692379e-01  1.00464705e+00 -1.35674071e+00  7.39243380e-01
  3.13579258e-01 -4.36731205e-01  1.68415829e+00 -8.30166605e-01
  1.01413092e+00  1.31545894e+00  6.03279587e-01 -1.06290779e+00
  5.28689194e-01 -1.90293387e+00  1.39532746e+00 -2.20723752e+00
 -1.01855501e+00 -2.98059990e-01  1.43150888e+00 -8.56507670e-01
 -5.86019309e-01 -9.89838611e-01 -2.91999378e-01  2.21903541e-01
  5.10076905e-02  3.38809098e-01  8.44787608e-01 -7.16840554e-01
  2.07534949e-01 -2.06094213e-01  3.56185815e-01  4.37455358e-01
  4.09582987e-02  6.88424677e-01  7.90321870e-02 -1.18756854e-01
 -1.04386330e-01 -8.12520687e-01  1.52166772e-01  1.10927724e+00
  1.49874914e-01  7.70547703e-01 -7.99875547e-01  1.13339931e-02
  1.84909870e+00 -1.07121018e+00  3.52692723e-01 -6.23721526e-01
  3.11540822e-01 -7.66773473e-01 -1.38405911e-01  3.82808619e-01]"
Hurdle Fund,Fund of Funds,"(0, 0, 0)",317.5343401121544,"[ 0.35 -0.62  0.22  0.1   0.5   0.33 -0.1   1.51  0.54  0.87 -1.34  0.73
 -1.36 -0.9   0.68 -3.35 -2.28  0.19 -0.15 -0.92  0.51  1.15 -0.7  -0.48
 -0.42 -1.7   1.26  0.24 -1.1  -0.82 -0.68  0.08  1.02  0.74  0.53  0.15
 -0.38 -0.8   0.73 -0.76  0.8   1.41  0.12 -0.48 -0.9   1.6   0.14  0.4
  1.6   0.   -0.4   0.01 -0.22 -0.02  0.02  0.    0.98 -0.35  0.44 -0.82
 -1.32 -0.37  1.33 -2.68  1.12 -0.72  0.98 -1.17  0.66  1.39 -0.43 -1.88
 -1.62  1.9   0.06 -3.08  0.96 -1.25 -0.58  0.8  -0.77  1.17  0.86 -0.79
 -1.97 -2.35  0.27  2.72 -1.47  2.3  -0.85 -1.01  1.   -2.99  0.03  1.11
 -0.76 -1.54 -1.09 -1.06]"
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. B,Fund of Funds,"(0, 0, 3)",317.70503058406626,"[-2.81000000e+00 -1.45797608e+00  1.81649049e+00  8.62285737e-01
  2.21819594e+00  1.09088607e+00 -3.43026103e-01  2.15010302e+00
  1.42557426e-01  1.07111745e+00 -8.68530311e-01  6.83167063e-01
 -9.17873972e-01 -1.44585567e+00  3.03049637e-01 -2.36758787e+00
 -3.13749196e+00  1.99832962e+00  2.83114186e-01 -9.87305522e-01
  1.47839629e+00  1.49760055e+00  2.64782389e-02 -1.21036795e+00
 -1.26231674e+00 -4.91463246e-01  1.60798341e+00  9.73951690e-01
  6.11406467e-01 -5.53107150e-01 -3.17304014e-01  1.39144139e+00
  2.31831262e+00  4.70992927e-02  4.37424009e-01  6.76759370e-01
  1.27043886e+00 -1.93652151e+00  5.31284315e-02 -8.76335008e-01
  1.57013017e+00  1.15689741e+00  1.77705488e+00  3.66364945e-01
 -1.43854985e+00  1.40021120e+00 -7.44183244e-01 -4.77721833e-01
  9.76397949e-01  8.74183837e-01 -1.43322884e+00  6.42700504e-01
  4.12301491e-01 -2.81173663e-01  1.62484012e+00 -8.19043877e-01
  8.79834948e-01  1.35877758e+00  6.82873097e-01 -1.18496873e+00
  4.81869344e-01 -1.92294939e+00  1.56951700e+00 -2.14202798e+00
 -1.04661889e+00 -4.55770758e-01  1.57255780e+00 -1.05417648e+00
 -8.96344274e-01 -1.29771757e+00 -2.44484298e-01  2.68034336e-01
  5.10689546e-04 -1.07909171e-01  5.99558551e-01 -9.04636596e-01
 -4.08862523e-01 -1.99637998e-01  4.77069036e-01  4.36650868e-01
 -1.91197115e-01  4.31532064e-01 -1.39266157e-02 -1.63685258e-01
 -1.71522526e-01 -9.48901335e-01  5.87952150e-02  1.05672710e+00
  9.58937747e-02  5.02281749e-01 -1.02076690e+00 -1.80689160e-01
  1.78066355e+00 -8.73425595e-01  2.50567898e-02 -7.99045897e-01
  1.90087748e-01 -9.22730611e-01 -2.12266432e-01  2.18358092e-01]"
DWS Eurorenta,Hedge Fund,"(0, 0, 0)",318.6530281706426,"[ 1.1517 -1.2083  0.7717  1.7217 -1.0883 -0.8883 -3.1183 -0.2283 -0.4983
  0.3817 -0.8883 -0.2883 -0.6383 -1.1483 -0.2483  1.2517 -0.2083 -0.7383
 -1.2683  2.6317  0.9117  1.1917 -0.3883  0.0117  1.2717 -1.4483  1.7117
  0.2817  0.4717  0.0217  1.5517  0.4317 -2.1883  0.1017  0.6717  2.4717
 -1.6283 -2.6083 -0.1683 -0.3483  0.6217  1.1317 -0.0983 -1.3383  1.9217
  0.5717  0.0417  0.5217  1.2617  0.5817  0.5217  1.5717 -0.2983  0.4617
  0.9617  0.1417  3.4017 -0.1783  1.0117 -1.3683 -0.9483 -2.2883  1.2417
 -1.0283 -0.1383  0.8917  0.5417 -2.1883  1.5517  0.8917  0.4717 -0.5783
  0.8217  0.6317  0.6417  0.6017 -0.7183 -3.2383 -0.5783  0.2617 -2.0783
  1.5317 -0.6083  0.2717 -0.2083 -1.0283 -0.4783  0.1617 -0.2483  0.2517
 -0.2283 -0.4383 -0.7783 -0.4783  0.6517 -0.7883 -0.4283  0.0217 -0.5183
 -0.6483]"
Hurdle EURO Feeder,Fund of Funds,"(0, 0, 0)",318.8265861364247,"[-0.0813 -0.6813  1.0987  0.2587  0.6187  0.5587  0.0587  1.7487  0.7187
  1.1187 -1.1113  0.9187 -0.8713 -0.7113  1.2387 -2.8313 -2.4313  0.6687
 -0.0813 -1.1213  0.9087  0.9087 -0.1413 -0.3013 -0.2113 -1.6213  1.4787
  0.3687 -0.9113 -0.6013 -0.5213  0.2087  1.1287  0.9887  0.7587  0.2387
 -0.2713 -0.6613  0.9087 -0.5913  0.9787  1.5487  0.3087 -0.3213 -0.6913
  1.8087  0.2887  0.6087  1.8287  0.2087 -0.1913  0.2187 -0.0313  0.2287
  0.2287  0.2087  1.3087 -0.1413  0.7087 -0.7313 -1.8313  0.3487  1.3887
 -2.5113  1.2487 -0.7513  1.2987 -0.8213  0.7587  1.4987 -0.4113 -1.7013
 -1.5913  1.9887  0.1287 -3.0313  0.9987 -1.2613 -0.5613  1.0087 -0.7513
  1.2287  0.8687 -0.3913 -1.3613 -2.2013  0.4787  2.3487 -1.0713  2.4587
 -0.8913 -0.9613  0.8987 -2.7713  0.2287  1.0387 -1.2213 -1.3613 -1.0313
 -1.2513]"
Hurdle GBP Feeder,Fund of Funds,"(0, 0, 0)",319.7079346386175,"[ 2.1940e-01 -2.2060e-01  7.8940e-01  4.6940e-01  6.6940e-01  4.9940e-01
  1.2940e-01  1.7194e+00  3.5940e-01  1.0394e+00 -1.1806e+00  9.5940e-01
 -1.0906e+00 -7.2060e-01  1.0094e+00 -3.1506e+00 -2.3106e+00  4.3940e-01
 -6.0000e-04 -7.9060e-01  7.5940e-01  1.3694e+00 -4.9060e-01 -2.9060e-01
 -2.8060e-01 -1.5406e+00  1.4894e+00  3.5940e-01 -9.3060e-01 -6.0060e-01
 -4.9060e-01  1.7940e-01  1.1694e+00  1.1294e+00  7.3940e-01  2.1940e-01
 -1.7060e-01 -6.0060e-01  9.4940e-01 -5.6060e-01  9.8940e-01  1.5294e+00
  5.8940e-01 -2.7060e-01 -7.2060e-01  1.7794e+00  3.3940e-01  5.7940e-01
  1.8194e+00  1.7940e-01 -2.2060e-01  1.8940e-01 -6.0000e-04  1.5940e-01
  1.9940e-01  1.7940e-01  7.4940e-01 -1.7060e-01  6.6940e-01 -6.2060e-01
 -1.2206e+00 -1.8060e-01  1.4594e+00 -2.5006e+00  1.3294e+00 -5.6060e-01
  1.2194e+00 -9.9060e-01  8.2940e-01  1.6094e+00 -3.3060e-01 -1.7206e+00
 -1.4506e+00  1.8794e+00  1.7940e-01 -3.0006e+00  9.1940e-01 -1.0506e+00
 -4.3060e-01  9.7940e-01 -6.8060e-01  1.2894e+00  9.3940e-01  1.3940e-01
 -2.7206e+00 -2.2306e+00  4.1940e-01  2.5294e+00 -1.1506e+00  2.2194e+00
 -8.1060e-01 -7.2060e-01  9.5940e-01 -2.7006e+00  9.9400e-02  1.1394e+00
 -7.8060e-01 -1.5506e+00 -1.5506e+00 -1.0006e+00]"
STS Master Fund Ltd. - Class I,Hedge Fund,"(2, 0, 0)",320.1399630762949,"[ 3.88928396e-01  3.21826918e-01  1.04303317e-01  1.44769448e-01
  1.10327088e+00  1.90723498e+00 -1.23738641e-01  1.73015676e-01
  1.20384208e+00  6.61523351e-01 -8.13792011e-01 -7.92501007e-02
  4.76020581e-01  9.73001757e-02 -1.67239378e-01  1.99919665e-01
  1.87530793e-01 -3.09758738e-01 -6.79572871e-02 -2.25077099e-01
  6.10311161e-02  8.01373553e-01  1.42711368e-01 -2.54666419e-01
 -2.47062361e-01  7.31723289e-01 -8.14765534e-02  5.72035965e-01
  2.26100085e+00  7.58419064e-01 -4.74169058e-01 -7.35490929e-01
  9.19577228e-01 -5.68506405e-02  3.22802853e-01  1.78165809e+00
  1.46100579e+00 -1.85889320e+00 -8.13943154e-01 -4.07381724e-02
  7.10667288e-01  2.38467399e-01  1.25151667e-01 -2.19173844e-03
  1.04051628e+00  8.70017439e-01  1.20857547e+00  1.32301882e-01
 -1.70002574e-01 -1.93049009e-01  4.94746159e-01 -4.70774909e-01
  2.76048996e-01  3.06882748e-01 -8.68684346e-01 -6.53913971e-02
 -2.83390146e-01  1.79551216e-01  8.01639102e-01  3.83093587e-01
 -3.84780641e-01 -9.64554645e-01 -1.05005954e+00 -9.09025253e-01
 -5.88911307e-01 -1.72780443e+00 -2.59857431e-01 -6.15521136e-01
  4.59951506e-01 -1.64430646e+00 -4.95024367e+00  1.19485438e+00
  2.28641568e-01  5.18808509e+00 -1.69534352e+00 -3.15221049e-01
 -5.06165813e-01 -9.63966522e-03 -7.99041426e-01 -2.24929510e+00
  8.58495123e-01  2.77457102e-01  1.84175360e+00 -1.65655473e+00
  1.59700750e+00  5.17389896e-03  5.83134197e-01  7.47125331e-01
 -1.96055534e+00 -1.16378295e+00  7.96828505e-01 -1.02682093e+00
 -2.28374485e-01  3.19590172e-01 -2.96375360e-01 -2.14995937e+00
  4.66479550e-01 -6.30780955e-01 -2.28448515e+00  3.00120822e-02]"
GAM Diversity CHF Open,Fund of Funds,"(0, 0, 0)",320.24854007558986,"[-2.67 -3.06  0.01 -0.21  1.09  0.91 -0.04  0.55 -0.15  1.33 -0.16  0.92
 -0.71 -0.57  0.46 -2.72 -2.02  0.47 -0.61 -0.32  1.87  1.65  0.1  -0.84
 -1.24 -0.17  1.29  0.36  0.83  0.55  0.    0.98  2.71  0.16  0.62  1.71
  1.76 -0.84  0.2  -1.34  1.72  0.32  1.36  1.3  -1.65  2.43 -1.33 -1.88
  2.    1.2  -0.22  0.22 -0.54 -0.92  0.76 -0.1  -1.19  2.51  0.56  0.02
  1.45 -1.31  0.72 -2.71 -3.19  0.33 -0.15 -0.66 -1.8  -1.81 -1.08  0.42
  0.76  0.47  0.46  0.29 -0.17 -0.66  0.14  0.68  0.58  0.67 -0.52 -0.25
 -0.55 -0.43  0.02  0.24 -0.09  0.3  -0.44 -0.06  1.77 -1.45  0.39 -0.15
  0.13 -0.4   0.14 -1.46]"
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. B,Fund of Funds,"(1, 0, 1)",321.01958458937,"[-2.72000000e+00 -1.04070818e+00  1.61269812e+00  1.06392441e-01
  2.35250150e+00  1.69655067e+00 -2.91124270e-01  2.44207245e+00
 -2.40285333e-03  9.39283096e-01 -5.75564267e-01  7.00167999e-01
 -1.09703310e+00 -1.69063537e+00  4.31811223e-01 -2.91158174e+00
 -2.87256635e+00  2.28972338e+00 -7.47340778e-01 -9.62241547e-01
  2.43215327e+00  1.40625584e+00 -2.94217981e-01 -6.83361647e-01
 -9.37686370e-01 -5.67081644e-01  1.18666854e+00  6.56029626e-01
  7.47262727e-01 -4.69682945e-02 -8.60980444e-02  1.40303803e+00
  2.00224059e+00 -1.66611323e-01  8.85105189e-01  1.06974920e+00
  9.64434547e-01 -2.04036106e+00  4.03400915e-01 -9.02537951e-01
  1.08264461e+00  1.08826194e+00  1.69091671e+00  7.34598546e-01
 -1.22097622e+00  1.78051582e+00 -1.13990554e+00 -7.69443497e-01
  1.30311277e+00  5.77031202e-01 -1.51536404e+00  1.11938129e+00
  3.49186989e-01  1.01263803e+00  1.62078532e+00 -1.09921053e+00
  9.05388717e-01  1.53947247e+00  3.05481809e-01 -8.93091429e-01
  8.92752342e-01 -2.02593991e+00  1.44425268e+00 -2.17686959e+00
 -1.14336685e+00  2.55962446e-02  1.02163812e+00 -1.16216381e+00
 -4.97831086e-01 -7.75933501e-01 -4.39144309e-01  1.53466160e-01
 -1.08936319e-01  1.26730492e-01  8.59396776e-01 -8.03123263e-01
 -1.87131183e-01  4.50060198e-03  2.76661117e-01  4.96937231e-01
  1.83925044e-02  7.37426614e-01  1.13026295e-01 -1.18320029e-01
  5.11475691e-02 -9.13200496e-01  2.27378398e-01  1.09425399e+00
 -7.40520539e-02  8.25377960e-01 -6.75192088e-01  7.27389929e-02
  1.98787783e+00 -1.35275675e+00  5.05134884e-01 -3.24363472e-01
  1.19502651e-01 -7.99440028e-01 -1.10873762e-01  4.18554454e-01]"
GAM Diversity EUR Open,Fund of Funds,"(0, 0, 0)",321.2960744956585,"[-2.76 -3.28  0.12 -0.18  1.13  0.91  0.04  0.57 -0.07  1.37 -0.16  1.03
 -0.62 -0.58  0.62 -2.72 -1.84  0.57 -0.56 -0.28  1.94  1.67  0.12 -0.84
 -1.23 -0.13  1.31  0.43  0.89  0.56 -0.01  1.02  2.62  0.19  0.65  1.71
  1.72 -0.83  0.21 -1.33  1.71  0.34  1.39  1.35 -1.69  2.47 -1.3  -1.86
  2.03  1.22 -0.2   0.25 -0.51 -0.95  0.77 -0.07 -1.17  2.6   0.7   0.14
  1.52 -1.24  0.83 -2.62 -3.03  0.4  -0.1  -0.56 -1.73 -1.79 -1.    0.45
  0.8   0.55  0.53  0.34 -0.1  -0.64  0.13  0.74  0.59  0.69 -0.47 -0.22
 -0.5  -0.38  0.08  0.27 -0.08  0.35 -0.41  0.01  1.84 -1.42  0.43 -0.13
  0.37 -0.37  0.17 -1.44]"
GAM Diversity SGD Open,Fund of Funds,"(0, 0, 0)",321.6042998272954,"[-2.55 -3.22  0.07 -0.19  1.11  1.07  0.02  0.52 -0.05  1.36 -0.21  0.93
 -0.68 -0.7   0.53 -2.84 -1.9   0.46 -0.59 -0.18  1.84  1.72  0.13 -0.81
 -1.17 -0.11  1.27  0.44  0.93  0.58  0.08  1.11  2.83  0.18  0.66  1.76
  1.75 -0.89  0.15 -1.38  1.72  0.36  1.4   1.36 -1.68  2.5  -1.32 -1.84
  1.97  1.19 -0.2   0.26 -0.54 -0.97  0.78 -0.04 -1.14  2.62  0.73  0.14
  1.58 -1.18  0.85 -2.7  -2.85  0.48  0.   -0.47 -1.52 -1.77 -0.81  0.52
  0.98  0.67  0.68  0.48  0.04 -0.53  0.27  0.91  0.79  0.78 -0.34 -0.11
 -0.39 -0.26  0.18  0.4   0.05  0.46 -0.3   0.22  1.94 -1.33  0.65 -0.01
  0.51 -0.18  0.31 -1.26]"
GAM Diversity USD Open,Fund of Funds,"(0, 0, 0)",322.9021914506071,"[-2.51 -3.2   0.08 -0.18  1.18  1.1  -0.02  0.56 -0.01  1.4  -0.18  1.03
 -0.69 -0.66  0.56 -2.8  -1.92  0.59 -0.59 -0.16  1.99  1.78  0.14 -0.8
 -1.12 -0.07  1.33  0.46  0.97  0.62  0.09  1.13  2.8   0.19  0.67  1.8
  1.73 -0.84  0.17 -1.36  1.79  0.4   1.4   1.35 -1.69  2.5  -1.31 -1.85
  1.99  1.19 -0.18  0.27 -0.47 -0.88  0.79 -0.07 -1.12  2.57  0.6   0.2
  1.56 -1.18  0.86 -2.66 -2.96  0.43 -0.05 -0.51 -1.61 -1.82 -0.93  0.55
  0.88  0.68  0.65  0.46  0.03 -0.5   0.28  0.91  0.79  0.81 -0.31 -0.09
 -0.36 -0.2   0.22  0.46  0.09  0.52 -0.23  0.22  2.06 -1.23  0.71  0.07
  0.61 -0.12  0.41 -1.19]"
OCCO Eastern European Fund (Ex -Ollo E.Euro Opportunities Fund),Hedge Fund,"(0, 0, 0)",324.85543267491795,"[-1.6916  0.1084  0.7684 -0.9216  0.0884  0.1684  0.3384  0.3184  3.1384
 -1.3216 -0.9416 -0.1316 -2.1416 -0.2016  0.1284 -3.0416  0.4184  1.2584
  1.8484  0.0284  1.5684  0.2284  1.1184 -0.1916 -1.4516 -0.6616 -0.1616
 -0.0316 -0.9316  1.2684 -0.4316  0.7684  1.6684  0.2184 -1.9816  1.3284
 -0.0516  0.2484  3.1884 -1.4416 -0.0316  0.0584  0.7584  0.8184 -0.2416
 -0.6916 -2.5016 -0.3316 -0.0316  0.6984 -1.3016  0.7584 -0.6516 -2.2216
 -1.1216 -0.6016  3.4784 -1.4816  0.8784 -0.1616 -0.5516 -1.9916  0.0084
 -0.3416 -1.1916  0.2584  0.4384 -0.6616 -1.4816  2.7384 -0.5016 -0.5716
  0.9384  0.8284  0.1584  0.8884  1.1084 -0.4216 -0.7516 -0.4616  1.1384
 -0.9216  0.4884  0.9384  1.5284  0.9684  0.5084  1.2984 -0.3216 -1.0316
 -0.6116  0.3984  1.8684  0.0684  0.8584 -0.2016 -3.0216 -0.5116 -0.1616
 -0.2816]"
Victoria Capital Dynamic European Fund Limited EUR,Hedge Fund,"(1, 0, 1)",327.39891762492306,"[-3.54000000e+00 -5.96573651e-01  1.91900381e+00  2.29283787e-01
  4.91814436e-01  3.11868739e-01 -7.56642173e-02  1.52901154e+00
 -7.77258365e-01  1.44362612e+00 -2.02224438e+00  1.29532258e+00
 -7.51891126e-01 -1.96420468e+00 -1.70796647e+00 -3.91646062e+00
 -2.96246134e+00  3.01029859e+00 -3.31412721e-01  6.56580339e-01
 -2.84737945e-01  1.09616417e+00 -1.06658528e-01 -1.20192971e-02
 -1.73006738e+00  1.61420883e+00 -1.56511600e-01  4.42170364e-01
 -9.18153096e-01 -9.11135318e-01 -1.06473465e-01  5.41058213e-01
  4.96284719e-01 -5.42773626e-02  6.94727165e-01 -4.89464756e-01
 -5.56458346e-02 -3.08338812e-01  9.62913317e-01 -2.88372659e-01
  7.71630336e-01  4.77480258e-01  6.67505448e-02 -3.55631244e-03
 -9.71876931e-01  9.62586142e-01 -4.44659122e-01  1.07964315e+00
  3.10315554e-01 -9.65618961e-02 -3.82754286e-01  5.95576817e-01
 -6.44468080e-01 -6.24085185e-01  8.34145809e-01 -1.31923049e+00
 -1.04465277e-01  2.17347427e+00 -9.72751853e-01  2.05001572e+00
 -4.39049052e-01 -1.81354240e+00  3.29878886e-01 -3.99976442e+00
 -2.28510469e+00  1.61470643e+00 -6.84581923e-01 -2.00739372e+00
 -6.04156762e-01 -7.85672332e-01  1.08427848e+00  1.37343528e+00
  3.59292505e-01 -6.50786201e-01  6.87505070e-01  2.83807939e-01
 -1.54961599e-01 -1.14657653e-01 -9.77756301e-01  5.01738138e-01
 -9.73715095e-01  1.19283951e+00 -3.27041650e-01 -3.07909904e-01
  3.56150905e-01 -7.54325262e-01 -2.57745357e-01  3.41991808e-01
  1.85064478e-01  5.18039376e-01 -5.96795179e-01  5.35363643e-01
  3.17416630e-01 -1.62932650e+00 -5.75689496e-01  8.02724025e-01
 -8.40624777e-01 -1.38801513e-01  5.55240231e-01 -1.02693424e+00]"
"Bodleian Partners B, L.P.",Fund of Funds,"(1, 0, 0)",328.23130819057013,"[-2.67333544 -0.26816588  1.10600677 -0.49218493  1.26770368  0.90706409
 -0.93492477  2.23407361  1.12556211  0.67513092 -0.71212923  0.336897
 -0.60904173 -1.60272751  0.07393437 -3.89552305 -2.2067196   2.59734166
 -1.85570361 -0.04082219  2.13127806  0.73435209  0.45948414 -1.05016822
 -1.44915313  0.24834328  0.71049923  1.06940059  0.961473    0.10948414
  0.2217928   1.21977609  1.57588191 -0.47524457  1.21335047  0.481473
  1.43303067 -2.14247688  1.71635442 -0.91933369  1.41727249  0.57787077
  1.06424069  0.47628525 -0.45656599  1.91891371 -0.72046017 -0.53388184
  0.87006804  0.48700839 -0.95938938 -0.05874978 -0.35950077 -1.92831859
  0.90990095 -0.79224062 -1.10514756  2.51318338 -0.29083566 -0.01382614
  0.54254378 -0.76780386 -0.50673307 -2.51154533 -1.73897257  0.9626408
 -0.96385399 -1.64797095 -2.63168457  0.35736951  1.09525579  0.99622956
 -0.09172589 -0.90463282  1.55364242  0.58187634 -0.11215708 -0.37944508
  0.676897    0.32219614  1.56458834 -0.14567576 -0.6734228   0.15047138
 -0.3758707  -0.6307108   0.54764799 -0.95143394  1.10963685  0.2890251
 -0.53140609  0.79969255  1.61700839 -1.98086351 -1.0476233   0.10436556
  0.75609032 -0.27699718  0.01012373 -0.60906958]"
Victoria Capital Dynamic European Fund Limited GBP,Hedge Fund,"(1, 0, 1)",328.7149013123576,"[-3.33474056 -0.39373418  2.05902391  0.26937349  0.70491879  0.41623811
 -0.00679667  1.6578336  -0.73840913  0.75642795 -1.15119758  1.14105643
 -0.46832341 -1.59764252 -2.05372719 -3.95410254 -3.01957914  3.23561038
 -0.54247114  0.92841148 -0.45400668  1.32144024 -0.16281972  0.16562661
 -1.5877467   1.82008038 -0.05195008  0.62934731 -0.77465073 -0.74589771
  0.07297099  0.66054033  0.70034404  0.04029458  0.85273478 -0.34888231
  0.13099742 -0.16022499  1.14621029 -0.15429621  0.91666961  0.65075887
  0.18421347  0.15996233 -0.85772542  1.15408865 -0.35379919  1.24195696
  0.40779018  0.04414305 -0.18549732  0.73320386 -0.47355047 -0.46560526
  1.05424835 -1.19953703  0.16606538  2.1898955  -0.76552632  2.28532568
 -0.27136775 -1.58155661  0.61260747 -3.97701665 -1.96898344  1.83938888
 -0.56917783 -1.84625094 -0.3584253  -0.69106292  1.34408943  1.563529
  0.61064532 -0.48552223  0.94064234  0.4511564   0.03804639 -0.31424985
 -0.67957343  0.68208252 -0.74764005  1.39735985 -0.11142178 -0.11749569
  0.61697829 -0.59945029  0.01261932  0.2733142   0.36023396  0.65897099
 -0.4105544   0.72170694  0.47938796 -1.49053591 -0.32984176  0.97110403
 -0.64287855  0.04074561  0.7548049  -0.88395822]"
