fund_name,levene_pvalue,is_homoscedastic,box_cox_lambda,transformation_applied
Edmond de Rothschild Prifund Alpha Volatility Cl. A (USD),0.005992847330161301,False,0.8792610481672954,True
Edmond de Rothschild Prifund Alpha Volatility Cl. B (EUR),0.009478622177521975,False,0.8827303939939607,True
Edmond de Rothschild Prifund Alpha Volatility Cl. B (USD),0.005452222674211396,False,0.875093178133391,True
EnTrustPermal Absolute Return Fund USD B,0.33752131785030803,True,,False
EnTrustPermal Fixed Income Holdings N.V. USD A,0.3851804347897061,True,,False
EnTrustPermal Investment Holdings N.V. EUR A,0.4086431341364133,True,,False
EnTrustPermal Investment Holdings N.V. USD A,0.3754650767885893,True,,False
EnTrustPermal Japan Holdings N.V. USD A,0.36225128740634394,True,,False
EnTrustPermal Macro Holdings Ltd. EUR A,0.8840247558422852,True,,False
EnTrustPermal Macro Holdings Ltd. USD A,0.7542143088489283,True,,False
European Capital Holdings,0.029942996695554183,False,0.6735820973875872,True
"European Selection Holdings S.A., SICAV-FIAR",0.969691945282811,True,,False
GAM Composite AR CHF - Open,0.12058613643881426,True,,False
GAM Composite AR EUR - Open,0.11353050195610102,True,,False
GAM Composite AR GBP - Open,0.054492096768253714,True,,False
GAM Diversity CHF Open,0.03739070355468382,False,0.7863847234013136,True
GAM Diversity EUR Open,0.03866197966643601,False,0.7929225203093191,True
GAM Diversity GBP Open,0.01673282971795699,False,0.7705641958850854,True
GAM Diversity SGD Open,0.04019306292292477,False,0.79488465050246,True
GAM Diversity USD Open,0.034561863350459014,False,0.8026058029772907,True
GAM Trading II - CHF Open,0.7068290477431864,True,,False
GAMAG Black & White Certificate,0.09043540278457364,True,,False
Gems Low Volatility Portfolio CHF,0.6587107781150066,True,,False
Gems Low Volatility Portfolio EUR,0.9657324155009739,True,,False
Gems Low Volatility Portfolio GBP,0.9508072759236386,True,,False
Gems Low Volatility Portfolio USD (Regular),0.8970879259915744,True,,False
Gems Recovery Portfolio EUR,0.11125313130988454,True,,False
Gems Recovery Portfolio USD,0.12883510964003025,True,,False
Hatteras Core Alternatives Fund L.P.,0.17751087147606734,True,,False
Hatteras Core Alternatives Institutional Fund L.P.,0.13683423313528767,True,,False
Hatteras Core Alternatives TEI Fund L.P.,0.16118525132298006,True,,False
Hatteras Core Alternatives TEI Institutional Fund L.P.,0.19340323708440385,True,,False
Haussmann Class A USD,0.15855177827087952,True,,False
Hurdle EURO Feeder,0.04025256947904812,False,0.7620142769514023,True
Hurdle Fund,0.05003646920213023,True,,False
Hurdle GBP Feeder,0.06015392792900256,True,,False
"ICMC Strategic Asset Fund, L.P.",0.045238076592055455,False,0.7773876147512133,True
"IL Hedge Investments, LLC",0.8531695006678433,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series A (USD),0.05563721973093414,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (GBP),0.057947965418410144,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (USD),0.05996345708071066,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (GBP),0.0592383696027514,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (JPY),0.053667782069169626,True,,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CN (NZD),0.06379904789668397,True,,False
"Lighthouse Credit Opportunities Fund, LP Class B",0.9990806982935537,True,,False
"Lighthouse Credit Opportunities Fund, Ltd. Class B",0.5466710024294322,True,,False
Lighthouse Diversified Fund Limited,0.03926262321657058,False,0.7750985243521292,True
"Lighthouse Diversified Fund, L.P.",0.13289396340971063,True,,False
Lighthouse Global Long/Short Fund L.P,0.13029092481405952,True,,False
Lighthouse Global Long/Short Fund Ltd.,0.12920679065959476,True,,False
Lighthouse Multi-Strategy Fund LP Series C,0.003233463006085282,False,0.8286997584565582,True
Lighthouse Multi-Strategy Fund Ltd Class C,0.0027373101683147764,False,0.8125877946817329,True
Lighthouse V Fund Limited (Class A),0.08399743486803095,True,,False
Master Capital Fund Limited,0.1223526127660163,True,,False
"Masters Research Partners, L.P.",0.8880328299207715,True,,False
MB Dislocation Opportunity Fund,0.0003347834970459738,False,1.0795937412648362,True
Optima Fund L.P.,0.23931228886281494,True,,False
Optima Fund Limited Class A,0.3762115140744029,True,,False
Optima Multi-Sector Fund L.P.,0.07830506609388352,True,,False
Optima Partners Focus Fund (A),0.06397039640648608,True,,False
Optima Partners Focus Fund LLC (A),0.11299012956451397,True,,False
Optima Partners Global Fund LLC,0.47329231271035777,True,,False
Optima Partners Global Fund Ltd.,0.6102678074024132,True,,False
Opus Diversified Fund LLC,0.20069022606724313,True,,False
"Oxbridge Partners, L.P.-Series A",0.9308630602850206,True,,False
P & A  Diversified Managers Fund L.P.,0.6111150557446914,True,,False
"P & A Balanced Fund, L.P.",0.7497191262751308,True,,False
P & A Multi Sector Fund L.P.,0.826416871027499,True,,False
"P & A Multi-Sector Fund II, L.P.",0.8457504390268964,True,,False
"P & A Select Strategy Fund, L.P.",0.8077534021236406,True,,False
Pine Grove Institutional Partners L.P. - Class C,0.6574887215091492,True,,False
